dates,oahuoahu0038_0001,oahuoahu0038_0002,oahuoahu0038_0003,oahuoahu0038_0004,oahuoahu0038_0005,oahuoahu0038_0006,oahuoahu0038_0007,oahuoahu0038_0008,oahuoahu0038_0009,oahuoahu0038_0010,oahuoahu0038_0011,oahuoahu0038_0012,oahuoahu0038_0013,oahuoahu0038_0014,oahuoahu0038_0015,oahuoahu0038_0016,oahuoahu0038_0017,oahuoahu0038_0018,oahuoahu0038_0019
2021-04-09 20:21:00.830,187.8627813079696,186.01296845646948,185.95770224616567,185.8898279110719,191.6504111138717,192.08800308137347,193.41966882076755,192.2607100637744,192.6332613729712,195.18930362058308,192.21132345399545,190.6340394885657,192.3923210771229,189.12050601084832,189.24600288487792,187.79025019284904,187.52314858615,183.9065491398017,186.6082592091551
2021-04-09 20:45:28.000,200.17075508873447,193.3780641999544,195.98183530487069,198.2729844884668,196.5977431558537,192.99769855996345,188.013519911666,193.21184662156105,204.9248075521273,191.5004239154172,189.0701060344417,190.11921308480348,191.78102944808063,191.5643037359345,198.185352261112,193.7364740772021,186.29176926764768,185.207032706466,185.7487923708813
2021-04-15 20:17:01.400,215.304449465907,210.15061906433007,211.9113567559798,205.3538203245921,199.7387958390737,194.55934079774272,201.2622381957724,211.87797761153644,211.53849758968147,208.60260354770875,206.87498373139283,207.4606349786725,202.17519413027344,196.98493154281616,196.06751222874243,195.26087380447416,193.78418986942492,193.9642293431088,191.5041512679585
2021-04-15 20:21:00.980,211.61795294653948,,211.93490076794936,205.6949386943949,205.0990268435501,203.5189844150267,210.8084929411701,214.65694401396092,,,,,,214.3761695679764,209.6720230816999,208.3705792021176,205.8795731543091,200.9340726030363,201.590872388235
2021-04-18 18:14:26.000,216.778900430261,210.41892468524284,203.3632557744021,202.89597783233447,201.4898819087576,199.5668022014968,204.98742189106048,208.1383576288133,208.4811950248537,199.43960959966216,209.19073336317663,197.9140347226028,200.0726300129312,197.6566643774128,201.3503702809372,201.2667791305768,196.80990979328007,200.02198544373096,195.29214365637503
2021-04-18 18:14:27.000,207.3508056349689,210.41881964105383,207.2863241805172,202.25695127782527,204.8418767226816,200.65560388870043,214.0251133281729,,209.7078621043393,201.91709970674123,201.2843203381613,202.3468509964073,199.8425024153262,200.47244039352617,203.5111228365265,202.27786169765545,194.83640073676,201.4192430996644,196.9311528445049
2021-04-18 20:43:23.000,,,,,,,,,,,,,,,212.1169938563992,210.78575641929817,212.19786241288352,210.03368405780964,
2021-04-19 20:54:08.670,192.0606111180967,186.58863749950063,182.35194415913963,178.05682753867026,185.5969905495363,203.9832289672459,189.51072647989548,186.52217634551,187.8581649547103,185.2732842811552,182.25607134128185,179.9026058437877,183.48701160446123,180.16447860261133,181.2795451188419,186.80493276195423,196.87748863653644,201.9509940644658,
2021-04-21 20:44:45.000,200.2902805064936,198.7230356937948,193.39344420504423,194.30290871067265,196.75815769411813,194.75859842852887,196.91371034993884,202.2925824765824,206.4764056400292,199.6706713671756,194.92489229661624,195.18328330194643,198.07800245249453,198.535047285097,197.3074106072687,193.1694805645197,189.70171397998564,192.72237672991545,194.6369648975737
2021-04-21 21:07:26.460,,,,213.4738831171321,210.2192674060701,210.02881479327272,205.7841909877254,,,211.55534610775808,212.95096767656403,209.3491994127286,,206.86103619062504,207.31181691855755,202.3978466434857,205.27384096812224,207.8273085644973,206.8330743006833
