dates,oahu0104_0001,oahu0104_0002,satname
2018-12-29 21:00:07+00:00,31.303977971653264,48.01642072677301,L8
2018-12-30 20:49:19+00:00,,,L7
2019-01-04 21:19:32+00:00,40.149923822184704,,S2
2019-01-06 20:55:17+00:00,57.82799827917801,62.54394591228248,L7
2019-01-09 21:19:30+00:00,34.219676469628844,,S2
2019-01-19 21:19:31+00:00,47.10789281354417,53.73941261453268,S2
2019-01-22 20:54:46+00:00,52.92749548328809,55.98091593418179,L7
2019-02-03 21:19:34+00:00,40.30380292769228,46.93446426788474,S2
2019-02-07 20:54:17+00:00,51.33733474341697,51.60037399464358,L7
2019-02-08 21:19:31+00:00,13.2721598737436,10.389451681894872,S2
2019-02-13 21:19:34+00:00,30.05842808273544,31.317482278475737,S2
2019-02-18 21:19:30+00:00,,,S2
2019-02-23 20:53:48+00:00,54.27406273922431,55.910225998050834,L7
2019-02-23 21:19:33+00:00,47.83874988118781,,S2
2019-02-28 21:19:29+00:00,27.91258290102222,33.37070825067155,S2
2019-03-03 20:59:54+00:00,54.69100042640367,54.42447106910887,L8
2019-03-11 20:53:18+00:00,52.80806588051343,50.49480569885076,L7
2019-03-15 21:19:32+00:00,25.102937016825003,18.77933607318787,S2
2019-03-27 20:52:46+00:00,,,L7
2019-03-30 21:19:34+00:00,14.259699874292693,11.454324639646956,S2
2019-04-04 20:59:46+00:00,47.4241296603314,48.39880981149515,L8
2019-04-04 21:19:37+00:00,15.511767657171369,14.425648215344358,S2
2019-04-05 20:46:16+00:00,,,L7
2019-04-12 20:52:12+00:00,27.03765113650465,25.542367320897867,L7
2019-04-19 21:19:37+00:00,16.697901655883282,14.283312161176813,S2
2019-04-20 20:59:39+00:00,44.968310005892405,47.35812854062006,L8
2019-04-21 20:45:41+00:00,,,L7
2019-04-24 21:19:41+00:00,13.609842842833444,10.00642187722908,S2
2019-05-09 21:19:38+00:00,12.914417423779504,9.494239905476563,S2
2019-05-14 21:19:43+00:00,12.1899824169347,11.581256787180804,S2
2019-05-19 21:19:38+00:00,10.24594270458232,,S2
2019-05-22 20:59:53+00:00,31.89069400413246,35.79696406002089,L8
2019-05-24 21:19:43+00:00,11.04747006630251,9.06245221577096,S2
2019-05-29 21:19:37+00:00,12.454752644276155,9.874826003095505,S2
2019-06-03 21:19:42+00:00,13.64203626545791,11.11441452005565,S2
2019-06-08 20:43:54+00:00,,,L7
2019-06-15 20:49:49+00:00,,,L7
2019-07-03 21:19:43+00:00,19.31624544187762,18.788835836356025,S2
2019-07-08 21:19:39+00:00,11.673377128396275,10.184143089917992,S2
2019-07-10 20:42:42+00:00,,,L7
2019-07-13 21:19:43+00:00,11.71916630127245,10.286464372173098,S2
2019-07-17 20:48:36+00:00,49.12141903234847,46.82171998636002,L7
2019-07-18 21:19:39+00:00,9.441660611554877,7.324713299026277,S2
2019-07-23 21:19:43+00:00,13.188068182185734,17.00789516550225,S2
2019-07-25 21:00:15+00:00,19.447733690161115,24.798351299964,L8
2019-08-02 20:47:58+00:00,,,L7
2019-08-02 21:19:42+00:00,13.43746440448042,12.884045122991704,S2
2019-08-07 21:19:38+00:00,10.703724179706022,8.527340556727928,S2
2019-08-10 21:00:21+00:00,23.46299830610788,26.33728179926534,L8
2019-08-11 20:41:25+00:00,50.03481547531138,50.98463872245992,L7
2019-08-26 21:00:25+00:00,29.25016973442625,27.85772139586148,L8
2019-08-27 20:40:44+00:00,,,L7
2019-09-12 20:40:02+00:00,,,L7
2019-09-16 21:19:34+00:00,7.246369768610938,7.079535190118227,S2
2019-09-21 21:19:33+00:00,18.931051947079165,17.93476651960358,S2
2019-09-26 21:19:35+00:00,20.91029382054589,17.834328378761903,S2
2019-09-27 21:00:35+00:00,32.72856170860836,30.754934892169825,L8
2019-10-01 21:19:35+00:00,28.982315447923376,37.22043964946015,S2
2019-10-06 21:19:37+00:00,15.493122302892465,13.532778424836904,S2
2019-10-13 21:00:37+00:00,45.28625778338945,48.01139368200091,L8
2019-10-14 20:38:41+00:00,,,L7
