dates,oahu0002_0001,oahu0002_0002,oahu0002_0003,oahu0002_0004,oahu0002_0005,oahu0002_0006,oahu0002_0007,oahu0002_0008,oahu0002_0009,oahu0002_0010,oahu0002_0011,oahu0002_0012,oahu0002_0013,oahu0002_0014,satname
2014-09-13 21:00:23+00:00,56.76087243218768,35.414015747945534,33.05476754886485,28.153178061935897,25.434039576890267,31.922129543032906,32.18463429629266,31.69458149093315,35.37259142152048,34.38445905585503,37.27852311978564,39.41985776120548,42.53011955243188,44.01379375439189,L8
2014-11-09 20:54:17+00:00,49.55930651678413,27.31107309268658,22.842329972432,17.245303548786314,16.817683695798156,19.98415094964648,20.58562285015618,21.654281223117664,22.032486825125307,24.14207871536884,24.75087086863304,26.339385646695145,28.8705153281098,31.679043138099555,L8
2014-11-16 21:00:26+00:00,50.76035293595333,31.65077916301272,30.28726059504377,25.95458437357356,23.38100666021638,25.920252178801725,25.047026184552347,25.01950173678252,24.42441410092067,27.348512105488325,29.464351152154045,30.0668232522384,31.070784719361576,31.768957756819063,L8
2014-12-02 21:00:25+00:00,49.60693267004097,32.08587294301215,29.932084303277232,27.62616023691439,24.132993012917733,24.707936878259822,26.53985451286698,26.69987225836462,25.57232841807024,25.25677988186521,26.69544540320567,29.18112883082841,29.055224714932063,30.108354858500864,L8
2014-12-18 21:00:22+00:00,52.17663177292815,31.07504857075337,31.59458079893925,28.520277736928097,23.63274691823018,23.56618652492628,22.40660659767843,22.55557276894559,27.9395411106932,30.43058946569769,28.73754667782195,29.15499929254917,32.49458922070312,34.3787352674062,L8
2015-01-12 20:54:06+00:00,,,,,,,,,,,,,,,L8
2015-01-19 21:00:13+00:00,47.81530727441916,29.69330480236706,27.286909075535977,24.54072065327246,24.53445818087336,26.331425272409472,27.22299585258796,26.443747834122323,26.00228133293561,27.376427097998967,28.59730796291986,28.98207500410275,31.157499663391096,35.70518566409652,L8
2015-01-28 20:54:01+00:00,,,,,,,,,,,,,,,L8
2015-02-04 21:00:10+00:00,49.72916244844394,29.04597036959161,26.313291668672026,24.561509781141435,24.223748517030568,26.07887572728595,26.93187926033212,27.48395578325059,28.77641677739628,27.627424261794392,27.40685376977895,26.259046733847928,27.242063053922056,31.207227877727053,L8
2015-03-01 20:53:49+00:00,,,,,,,,,,,,,,,L8
2015-03-09 20:52:56+00:00,,,,,,,,,,,,,,,L7
2015-03-16 20:59:13+00:00,36.87562793538535,21.95992861209111,20.77204901114528,22.98611161088529,22.570480003716582,24.85923827980536,25.91540610545173,27.796137087794712,24.054511840203904,22.17777905288816,21.84731365339542,23.132681708884785,26.12880445191081,29.448539908597915,L7
2015-03-17 20:53:39+00:00,6.467662354146217,11.017404417491612,13.63169152909438,17.765618057648243,20.259095574567866,25.86428213658372,22.6206639625719,20.105534084267006,21.482831048563902,28.252636196983648,33.30150455664794,38.99635964636863,42.290463736215024,47.43042340490603,L8
2015-03-24 20:59:46+00:00,49.34951174274541,29.203412325830065,29.33247939768892,27.40972813296848,25.451025755210004,27.78205708943411,29.291665785434155,28.371122928503976,31.007159622071605,31.477830668263792,33.53448962041464,33.03235790219134,34.16029154003748,35.9811175905245,L8
2015-03-25 20:53:06+00:00,,,,,,,,,,,,,,,L7
2015-04-01 20:59:19+00:00,,2.0689537251003465,23.209724815937165,24.28242211506743,23.398582839272024,30.67241357338993,,,,,,,,,L7
2015-04-09 20:59:36+00:00,48.07973432128585,27.988549738713616,28.225419559472584,28.26131691700452,28.63882783487685,29.43149035141084,29.63470946392908,24.43267648544224,21.072278301048136,27.08756916731754,28.339236571865,30.05957201298295,34.887724725847754,39.97497699863504,L8
2015-04-10 20:53:15+00:00,,,,,,,,,,,,36.03910771854231,38.27756354213054,41.52964189389528,L7
2015-04-18 20:53:26+00:00,42.27269371129284,24.628102337071777,26.38122120933701,24.47401501562778,25.33727133184981,,,,,,,,,,L8
2015-04-25 20:59:33+00:00,54.762114178712885,34.84135296067371,36.467486714243,34.22677724913101,34.90231504806715,,,,,,,,,,L8
2015-04-26 20:53:20+00:00,,,,,,,,,,,,,,,L7
2015-05-12 20:53:29+00:00,,,,,,,,,,,,,,,L7
2015-05-28 20:53:32+00:00,,,,,,,,,,,,,,,L7
2015-06-13 20:53:40+00:00,62.37471620761652,45.30078246452343,43.48249463436304,37.8719331703634,40.55897982312963,41.93521050994323,43.531170298809045,37.8259674324272,33.99742986325619,28.06502389100736,25.85812985322692,31.325970536580755,36.64838536696794,41.97599752989356,L7
2015-06-20 20:59:51+00:00,,,,,,,,,,,,,,,L7
2015-06-29 20:53:42+00:00,,,,,,,,,,,,,,,L7
2015-07-07 20:53:32+00:00,,,,,,,,,,,,,,,L8
2015-07-15 20:53:48+00:00,55.19320033869906,36.73225769226079,36.17532644754672,32.806624157779176,34.59727991465525,35.86089818701182,38.31250821321459,38.185651072279406,,,,,,,L7
2015-07-30 20:59:51+00:00,48.11650484251106,29.20882391022773,28.35411771471318,21.52104246466215,22.64551019793733,22.14917422876452,24.662232611524527,21.32171153842243,24.15100508753532,27.36167737210756,31.28242088666702,31.250164820228125,23.817583823592845,29.7232055888331,L8
2015-08-15 20:59:57+00:00,,,52.53106243326807,41.70607828654411,46.02958119472276,34.1438166942619,33.48537146861249,-2.03400431017197,14.35952532486742,41.20297322136624,,-17.175719959597178,,,L8
2015-08-16 20:53:54+00:00,60.006775424180105,39.54521445997738,39.48603812958164,35.15389001280178,38.55129530717332,37.27295189677497,39.75324509444828,40.47955075668977,,,,,,,L7
2015-08-31 21:00:03+00:00,42.16537130834088,22.025585012721443,21.918679953023428,19.33547852342492,20.86037529682641,21.62396900094282,25.597508315319345,28.33253287960013,27.53411492794609,26.698442190776788,24.057165321018864,26.96256317002308,29.44160499957293,37.67725327747281,L8
2015-09-01 20:53:53+00:00,46.81109206482811,36.496767080456095,37.29930445984719,33.51357677909873,35.31652328630206,36.97455555582054,,,,,,,,,L7
